,abstract_id,line_id,abstract_text,line_number,total_lines,current_line,target
0,21055153,21055153_6_18,(1) To investigate the promoter methylation status of gene p16(INK4a) and gene RB in breast carcinoma and the adjacent non-neoplastic hyperplastic epithelial tissue.,6,18,6_18,OBJECTIVE:
1,21055153,21055153_8_18,"Methylation status of promoters of p16(INK4a) gene and RB gene was detected by using methylation specific PCR in 46 cases of breast cancer, 22 cases of the adjacent non-neoplastic hyperplastic epithelium tissue and 7 cases of normal breast tissue.",8,18,8_18,METHODS:
2,21055153,21055153_10_18,"The methylation rate of p16(INK4a) gene was 23.9% (11/46) in breast cancer, 18.2% (4/22) in the adjacent non-neoplastic hyperplastic epithelial tissue and 1/7 in normal breast tissue, respectively.",10,18,10_18,RESULTS:
3,21055153,21055153_15_18,"The abnormal methylation of p16(INK4a) gene may not play a significant role in the early stage of breast cancinogenesis, but may play a role of in the progression of the cancer.",15,18,15_18,CONCLUSIONS:
4,35594581,35594581_24_41,assessed from digital mammograms is a biomarker for higher risk of developing breast cancer.,24,41,24_41,OBJECTIVE:
5,35594581,35594581_32_41,A multi-center study composed of 1395 women whose mammograms were classified into the four BI-RADS categories by three experienced radiologists is presented.,32,41,32_41,METHODS:
6,35594581,35594581_34_41,The combination of five networks implementing the RegL methodology achieved the best results among all the models in the test set.,34,41,34_41,RESULTS:
7,35594581,35594581_36_41,The proposed methodology has a similar performance to the experienced radiologists in the classification of digital mammograms into BI-RADS categories.,36,41,36_41,CONCLUSIONS:
8,8487323,8487323_8_22,"Studies in animals and geographic correlations across populations suggest that fatty acid intake may have a positive relationship with breast cancer risk, but analytic epidemiologic studies of fat intake have been less supportive.",8,22,8_22,BACKGROUND:
9,8487323,8487323_12_22,Aspirates of subcutaneous fat from the buttocks were obtained from 380 women with newly diagnosed stage I or II breast cancer and 176 with proliferative benign breast disease.,12,22,12_22,METHODS:
10,8487323,8487323_15_22,We observed no consistent patterns of association between breast cancer risk and any of the categories of fatty acids or the individual constituent fatty acids in the adipose tissue.,15,22,15_22,RESULTS:
11,8487323,8487323_19_22,"Using an objective measure of intake, we observed no major associations between polyunsaturated fatty acids, including long-chain N-3 fatty acids and trans fatty acids, and risk of breast cancer or proliferative benign breast disease.",19,22,19_22,CONCLUSIONS:
12,29554468,29554468_15_24,The UK Age trial compared annual mammography screening of women ages 40 to 49 years with no screening and found a statistically significant breast cancer mortality reduction at the 10-year follow-up but not at the 17-year follow-up.,15,24,15_24,BACKGROUND:
13,29554468,29554468_17_24,"Five established CISNET breast cancer models used data on population demographics, screening attendance, and mammography performance from the Age trial together with extant natural history parameters to project breast cancer incidence and mortality in the control and intervention arm of the trial.",17,24,17_24,METHODS:
14,29554468,29554468_18_24,The models closely reproduced the effect of annual screening from ages 40 to 49 years on breast cancer incidence.,18,24,18_24,RESULTS:
15,29554468,29554468_21_24,The models underestimated the effect of screening on breast cancer mortality at the 10-year follow-up.,21,24,21_24,CONCLUSIONS:
16,30656783,30656783_10_23,Fear of recurrence is a crucial issue in cancer care.,10,23,10_23,OBJECTIVE:
17,30656783,30656783_15_23,"The study was composed of an individual (n = 76) and a group (n = 38) intervention, both lasting 8 weeks, that were evaluated through a preassessment and postassessment and a 1-month follow-up.",15,23,15_23,METHODS:
18,30656783,30656783_19_23,"Results showed that depressive, anxious, and post-traumatic symptoms were reduced significantly in the entire sample.",19,23,19_23,RESULTS:
19,20082359,20082359_6_17,from extramammary neoplasm is rare.,6,17,6_17,OBJECTIVE:
20,20082359,20082359_8_17,The surgical and pathology databases of Samsung Medical Center from November 1994 to March 2009 were investigated to identify all patients with a diagnosis of metastasis to the breast.,8,17,8_17,METHODS:
21,20082359,20082359_9_17,Thirty-three patients with breast metastases from extramammary neoplasm were studied.,9,17,9_17,RESULTS:
22,20082359,20082359_13_17,Pathologic examination and considering known clinical history may be helpful to differentiate the primary breast cancer and metastatic cancer.,13,17,13_17,CONCLUSIONS:
23,29904980,29904980_9_17,"This study revealed the landscape of noncancer conversations, identifying topics and types of everyday conversation, and examined links to psychological adjustment among couples coping with breast cancer.",9,17,9_17,OBJECTIVE:
24,29904980,29904980_10_17,Fifty-two couples wore the Electronically Activated Recorder (EAR) over 1 weekend and self-reported psychological adjustment while patients were on treatment.,10,17,10_17,METHODS:
25,29904980,29904980_12_17,Analyses revealed noncancer conversations comprised over 93% of conversations.,12,17,12_17,RESULTS:
26,16978961,16978961_6_16,The objective of this study was to determine the impact of delay of diagnosis by clinicians on breast cancer prognostic factors and survival.,6,16,6_16,BACKGROUND:
27,16978961,16978961_7_16,The medical records of patients whose breast cancer diagnosis was delayed by clinicians were reviewed.,7,16,7_16,METHODS:
28,16978961,16978961_11_16,Forty patients had delays from 3 to 36 months.,11,16,11_16,RESULTS:
29,19575874,19575874_6_19,"To analyzed a large group of invasive breast cancers with long-term follow-up information to evaluate the clinicopathologic, morphological and prognostic features of basal-like breast cancers in Chinese population.",6,19,6_19,OBJECTIVE:
30,19575874,19575874_7_19,"Immunohistochemistry was used to detect the expression of ER, HER2, CK5/6, EGFR on tissue microarray with 1311 invasive breast cancers.",7,19,7_19,METHODS:
